0	178	97	208	208	246	266	162	141	270	145	0
178	0	87	100	100	267	174	39	243	217	65	178
97	89	0	117	117	219	185	86	164	205	84	97
125	141	124	224	224	338	299	104	258	326	76	125
208	100	117	0	0	187	76	136	208	119	157	208
208	100	117	0	0	187	76	136	208	119	157	208
246	267	219	187	187	0	158	291	128	104	299	246
266	174	185	76	76	158	0	211	226	61	232	266
162	39	86	136	136	291	211	0	250	251	28	162
141	243	164	208	208	128	226	250	0	197	246	141
270	217	205	119	119	104	61	251	197	0	268	270
145	65	84	157	157	299	232	28	246	268	0	145
0	178	97	208	208	246	266	162	141	270	145	0
