0	191	178	189	189	210	214	166	165	49	308	0
191	0	66	119	119	236	92	247	286	144	257	191
178	68	0	174	174	281	156	278	307	130	318	178
167	220	258	120	120	45	166	35	90	172	161	167
189	119	174	0	0	123	45	154	205	161	146	189
189	119	174	0	0	123	45	154	205	161	146	189
210	236	281	123	123	0	167	67	121	212	120	210
214	92	156	45	45	167	0	199	249	178	165	214
166	247	278	154	154	67	199	0	56	181	187	166
165	286	307	205	205	121	249	56	0	193	240	165
49	144	130	161	161	212	178	181	193	0	295	49
308	257	318	146	146	120	165	187	240	295	0	308
0	191	178	189	189	210	214	166	165	49	308	0
