0	257	49	170	170	124	221	107	277	118	119	0
257	0	252	87	87	203	54	196	91	188	162	257
49	254	0	167	167	85	209	72	256	149	96	49
185	99	199	60	60	183	104	166	171	92	133	185
170	87	167	0	0	132	59	119	127	117	84	170
170	87	167	0	0	132	59	119	127	117	84	170
124	203	85	132	132	0	152	22	184	177	49	124
221	54	209	59	59	152	0	147	68	176	115	221
107	196	72	119	119	22	147	0	186	155	35	107
277	91	256	127	127	184	68	186	0	244	160	277
118	188	149	117	117	177	176	155	244	0	136	118
119	162	96	84	84	49	115	35	160	136	0	119
0	257	49	170	170	124	221	107	277	118	119	0
