0	114	262	190	190	97	58	86	179	103	193	0
114	0	148	167	167	22	107	105	167	11	83	114
262	150	0	239	239	166	246	234	250	159	78	262
190	167	239	0	0	153	133	103	18	165	222	190
190	167	239	0	0	153	133	103	18	165	222	190
97	22	166	153	153	0	85	84	151	14	105	97
58	107	246	133	133	85	0	30	122	97	190	58
86	105	234	103	103	84	30	0	93	97	185	86
179	167	250	18	18	151	122	93	0	164	228	179
103	11	159	165	165	14	97	97	164	0	94	103
193	83	78	222	222	105	190	185	228	94	0	193
0	114	262	190	190	97	58	86	179	103	193	0
