0	159	149	157	157	175	178	138	137	40	257	0
159	0	55	99	99	197	77	206	238	120	214	159
149	56	0	145	145	234	130	231	256	109	265	149
157	99	145	0	0	103	38	128	170	134	121	157
157	99	145	0	0	103	38	128	170	134	121	157
175	197	234	103	103	0	139	56	101	176	100	175
178	77	130	38	38	139	0	166	207	149	138	178
138	206	231	128	128	56	166	0	46	151	156	138
137	238	256	170	170	101	207	46	0	161	200	137
40	120	109	134	134	176	149	151	161	0	246	40
257	214	265	121	121	100	138	156	200	246	0	257
0	159	149	157	157	175	178	138	137	40	257	0
